,Word,Definitions
2280,disposition,your usual mood
2281,anxiety,"(psychiatry) a relatively permanent state of worry and nervousness occurring in a variety of mental disorders, usually accompanied by compulsive behavior or attacks of panic"
2282,office,place of business where professional or clerical duties are performed
2283,grace,(Christian theology) a state of sanctification by God; the state of one who is under such divine influence
2284,thoughtful,NO DEFINITION FOUND
2285,reckless,NO DEFINITION FOUND
2286,transport,something that serves as a means of transportation
2287,preoccupation,an idea that preoccupies the mind and holds the attention
2288,kidnap,NO DEFINITION FOUND
2289,heat,a form of energy that is transferred by a difference in temperature
2290,pledge,a deposit of personal property as security for a debt
2291,lunch,a midday meal
2292,experiment,the act of conducting a controlled test or investigation
2293,spokesperson,an advocate who represents someone else's policy or purpose
2294,offensive,the action of attacking an enemy
2295,bucket,a roughly cylindrical vessel that is open at the top
2296,hunting,the pursuit and killing or capture of wild animals regarded as a sport
2297,desire,the feeling that accompanies an unsatisfied state
2298,cap,a tight-fitting headdress
2299,compact,a small cosmetics case with a mirror; to be carried in a woman's purse
2300,gate,a movable barrier in a fence or wall
2301,sausage,highly seasoned minced meat stuffed in casings
2302,seed,a small hard fruit
2303,hilarious,NO DEFINITION FOUND
2304,superior,one of greater rank or station or quality
2305,clock,a timepiece that shows the time of day
2306,obscure,NO DEFINITION FOUND
2307,quaint,NO DEFINITION FOUND
2308,highway,a major road for any form of motor transport
2309,buffet,a piece of furniture that stands at the side of a dining room; has shelves and drawers
2310,charge,an impetuous rush toward someone or something
2311,agriculture,a large-scale farming enterprise
2312,referral,a person whose case has been referred to a specialist or professional group
2313,knit,a fabric made by knitting
2314,occupy,NO DEFINITION FOUND
2315,bacon,back and sides of a hog salted and dried or smoked; usually sliced thin and fried
2316,deviation,a variation that deviates from the standard or norm
2317,contribution,the part played by a person in bringing about a result
2318,script,a written version of a play or other dramatic composition; used in preparing for a performance
2319,acquisition,the act of contracting or assuming or acquiring possession of something
2320,shallow,a stretch of shallow water
2321,log,a segment of the trunk of a tree when stripped of branches
2322,generate,NO DEFINITION FOUND
2323,deprivation,a state of extreme poverty
2324,steam,water at boiling temperature diffused in the atmosphere
2325,necklace,jewelry consisting of a cord or chain (often bearing gems) worn about the neck as an ornament (especially by women)
2326,feather,the light horny waterproof structure forming the external covering of birds
2327,kit,a case for containing a set of articles
2328,condition,a state at a particular time
2329,describe,NO DEFINITION FOUND
2330,age,how long something has existed
2331,dish,a piece of dishware normally used as a container for holding or serving food
2332,willpower,the trait of resolutely controlling your own behavior
2333,forbid,NO DEFINITION FOUND
2334,soup,liquid food especially of meat or fish or vegetable stock often containing pieces of solid food
2335,chimney,a vertical flue that provides a path through which smoke from a fire is carried away through the wall or roof of a building
2336,mix,a commercially prepared mixture of dry ingredients
2337,entertain,NO DEFINITION FOUND
2338,bench,a long seat for more than one person
2339,limit,the greatest possible degree of something
2340,wearout,NO DEFINITION FOUND
2341,inhabitant,a person who inhabits a particular place
2342,tumour,an abnormal new mass of tissue that serves no purpose
2343,fame,the state or quality of being widely honored and acclaimed
2344,prize,something given for victory or superiority in a contest or competition or for winning a lottery
2345,owe,NO DEFINITION FOUND
2346,shatter,NO DEFINITION FOUND
2347,reach,the limits within which something can be effective
2348,conservation,an occurrence of improvement by virtue of preventing loss or injury or other change
2349,solution,a homogeneous mixture of two or more substances; frequently (but not necessarily) a liquid solution
2350,dozen,the cardinal number that is the sum of eleven and one
2351,doll,a small replica of a person; used as a toy
2352,brilliance,a light within the field of vision that is brighter than the brightness to which the eyes are adapted
2353,correspondence,communication by the exchange of letters
2354,drift,a force that moves something along
2355,gregarious,NO DEFINITION FOUND
2356,thinker,an important intellectual
2357,reduction,the act of decreasing or reducing something
2358,lot,(often followed by `of') a large number or amount or extent
2359,delicate,NO DEFINITION FOUND
2360,stitch,"a link or loop or knot made by an implement in knitting, crocheting, embroidery, or sewing"
2361,microphone,device for converting sound waves into electrical energy
2362,fashionable,NO DEFINITION FOUND
2363,weak,NO DEFINITION FOUND
2364,learn,NO DEFINITION FOUND
2365,remunerate,NO DEFINITION FOUND
2366,dribble,flowing in drops; the formation and falling of drops of liquid
2367,stun,NO DEFINITION FOUND
2368,greeting,(usually plural) an acknowledgment or expression of good will (especially on meeting)
2369,mild,NO DEFINITION FOUND
2370,nature,the essential qualities or characteristics by which something is recognized
2371,position,the particular portion of space occupied by something
2372,horn,a noisemaker (as at parties or games) that makes a loud noise when you blow through it
2373,theater,a building where theatrical performances or motion-picture shows can be presented
2374,integrity,an undivided or unbroken completeness or totality with nothing wanting
